customer_id,sequence_pattern,anomaly_score,anomaly_level,explanation
C412788346,"REPEATED_HIGH_VALUE_TO_C1590550415: TRANSFER(379,856.23) -> TRANSFER(1,724,887.05) -> TRANSFER(1,429,051.47) -> TRANSFER(761,507.39) -> TRANSFER(581,294.26) | HIGH_VALUE_TRANSFER: TRANSFER(761,507.39) to C1590550415",100,HIGH,"Destination C1590550415 received 5 high-value transactions (>10,000) from accounts: C1449772539, C1495608502, C1520267010, C412788346, C843299092; amounts: 379,856.23, 1,724,887.05, 1,429,051.47, 761,507.39, 581,294.26; High-value transfer of 761,507.39 from C412788346 to C1590550415; TRANSFER is a higher-risk transaction type"
C843299092,"REPEATED_HIGH_VALUE_TO_C1590550415: TRANSFER(379,856.23) -> TRANSFER(1,724,887.05) -> TRANSFER(1,429,051.47) -> TRANSFER(761,507.39) -> TRANSFER(581,294.26) | HIGH_VALUE_TRANSFER: TRANSFER(581,294.26) to C1590550415",100,HIGH,"Destination C1590550415 received 5 high-value transactions (>10,000) from accounts: C1449772539, C1495608502, C1520267010, C412788346, C843299092; amounts: 379,856.23, 1,724,887.05, 1,429,051.47, 761,507.39, 581,294.26; High-value transfer of 581,294.26 from C843299092 to C1590550415; TRANSFER is a higher-risk transaction type"
C768216420,"REPEATED_HIGH_VALUE_TO_C1509514333: TRANSFER(209,711.11) -> CASH_OUT(110,414.71) | SUDDEN_INCREASE: CASH_OUT(110,414.71) vs balance(26,845.41) | HIGH_VALUE_CASHOUT: CASH_OUT(110,414.71)",100,HIGH,"Destination C1509514333 received 2 high-value transactions (>10,000) from accounts: C1556867940, C768216420; amounts: 209,711.11, 110,414.71; Transaction amount 110,414.71 consumes 411.3% of account balance 26,845.41; large balance drain above 10,000 suggests possible fraud; High-value cash-out of 110,414.71 from C768216420; CASH_OUT is a high-risk transaction type"
C905080434,"SUDDEN_INCREASE: CASH_OUT(229,133.94) vs balance(15,325.00) | HIGH_VALUE_CASHOUT: CASH_OUT(229,133.94)",100,HIGH,"Transaction amount 229,133.94 consumes 1495.2% of account balance 15,325.00; large balance drain above 10,000 suggests possible fraud; High-value cash-out of 229,133.94 from C905080434; CASH_OUT is a high-risk transaction type"
C1520267010,"REPEATED_HIGH_VALUE_TO_C1590550415: TRANSFER(379,856.23) -> TRANSFER(1,724,887.05) -> TRANSFER(1,429,051.47) -> TRANSFER(761,507.39) -> TRANSFER(581,294.26) | HIGH_VALUE_TRANSFER: TRANSFER(1,429,051.47) to C1590550415",100,HIGH,"Destination C1590550415 received 5 high-value transactions (>10,000) from accounts: C1449772539, C1495608502, C1520267010, C412788346, C843299092; amounts: 379,856.23, 1,724,887.05, 1,429,051.47, 761,507.39, 581,294.26; High-value transfer of 1,429,051.47 from C1520267010 to C1590550415; TRANSFER is a higher-risk transaction type"
C1495608502,"REPEATED_HIGH_VALUE_TO_C1590550415: TRANSFER(379,856.23) -> TRANSFER(1,724,887.05) -> TRANSFER(1,429,051.47) -> TRANSFER(761,507.39) -> TRANSFER(581,294.26) | HIGH_VALUE_TRANSFER: TRANSFER(1,724,887.05) to C1590550415",100,HIGH,"Destination C1590550415 received 5 high-value transactions (>10,000) from accounts: C1449772539, C1495608502, C1520267010, C412788346, C843299092; amounts: 379,856.23, 1,724,887.05, 1,429,051.47, 761,507.39, 581,294.26; High-value transfer of 1,724,887.05 from C1495608502 to C1590550415; TRANSFER is a higher-risk transaction type"
C1603696865,"REPEATED_HIGH_VALUE_TO_C766572210: CASH_OUT(136,872.92) -> TRANSFER(554,026.99) -> TRANSFER(224,606.64) | HIGH_VALUE_TRANSFER: TRANSFER(554,026.99) to C766572210",90,HIGH,"Destination C766572210 received 3 high-value transactions (>10,000) from accounts: C1533123860, C1603696865, C873175411; amounts: 136,872.92, 554,026.99, 224,606.64; High-value transfer of 554,026.99 from C1603696865 to C766572210; TRANSFER is a higher-risk transaction type"
C835773569,"REPEATED_HIGH_VALUE_TO_C1359044626: TRANSFER(147,543.10) -> TRANSFER(367,768.40) -> TRANSFER(710,544.77) | HIGH_VALUE_TRANSFER: TRANSFER(710,544.77) to C1359044626",90,HIGH,"Destination C1359044626 received 3 high-value transactions (>10,000) from accounts: C12905860, C288306765, C835773569; amounts: 147,543.10, 367,768.40, 710,544.77; High-value transfer of 710,544.77 from C835773569 to C1359044626; TRANSFER is a higher-risk transaction type"
C1533123860,"REPEATED_HIGH_VALUE_TO_C766572210: CASH_OUT(136,872.92) -> TRANSFER(554,026.99) -> TRANSFER(224,606.64) | HIGH_VALUE_CASHOUT: CASH_OUT(136,872.92)",90,HIGH,"Destination C766572210 received 3 high-value transactions (>10,000) from accounts: C1533123860, C1603696865, C873175411; amounts: 136,872.92, 554,026.99, 224,606.64; High-value cash-out of 136,872.92 from C1533123860; CASH_OUT is a high-risk transaction type"
C1449772539,"REPEATED_HIGH_VALUE_TO_C1590550415: TRANSFER(379,856.23) -> TRANSFER(1,724,887.05) -> TRANSFER(1,429,051.47) -> TRANSFER(761,507.39) -> TRANSFER(581,294.26) | HIGH_VALUE_TRANSFER: TRANSFER(379,856.23) to C1590550415",90,HIGH,"Destination C1590550415 received 5 high-value transactions (>10,000) from accounts: C1449772539, C1495608502, C1520267010, C412788346, C843299092; amounts: 379,856.23, 1,724,887.05, 1,429,051.47, 761,507.39, 581,294.26; High-value transfer of 379,856.23 from C1449772539 to C1590550415; TRANSFER is a higher-risk transaction type"
C288306765,"REPEATED_HIGH_VALUE_TO_C1359044626: TRANSFER(147,543.10) -> TRANSFER(367,768.40) -> TRANSFER(710,544.77) | HIGH_VALUE_TRANSFER: TRANSFER(367,768.40) to C1359044626",80,HIGH,"Destination C1359044626 received 3 high-value transactions (>10,000) from accounts: C12905860, C288306765, C835773569; amounts: 147,543.10, 367,768.40, 710,544.77; High-value transfer of 367,768.40 from C288306765 to C1359044626; TRANSFER is a higher-risk transaction type"
C12905860,"REPEATED_HIGH_VALUE_TO_C1359044626: TRANSFER(147,543.10) -> TRANSFER(367,768.40) -> TRANSFER(710,544.77) | HIGH_VALUE_TRANSFER: TRANSFER(147,543.10) to C1359044626",80,HIGH,"Destination C1359044626 received 3 high-value transactions (>10,000) from accounts: C12905860, C288306765, C835773569; amounts: 147,543.10, 367,768.40, 710,544.77; High-value transfer of 147,543.10 from C12905860 to C1359044626; TRANSFER is a higher-risk transaction type"
C1528834618,"SUDDEN_INCREASE: CASH_OUT(82,940.31) vs balance(3,017.87) | HIGH_VALUE_CASHOUT: CASH_OUT(82,940.31)",80,HIGH,"Transaction amount 82,940.31 consumes 2748.3% of account balance 3,017.87; large balance drain above 10,000 suggests possible fraud; High-value cash-out of 82,940.31 from C1528834618; CASH_OUT is a high-risk transaction type"
